+--------+----------------------------------------------------+--------------------------------------------------+
| Locale | Key                                                | Value in other locales or source                 |
+--------+----------------------------------------------------+--------------------------------------------------+
|   en   | approve_case_plan.approve_case_plan_label          | fr Approuver le plan d'intervention              |
|   en   | approve_case_plan.comments_label                   | fr Commentaires                                  |
|   en   | cases.export_all_child_records_to_csv              | zh 所有儿童信息以 Records  CSV格式导出           |
|   en   | cases.export_all_child_records_to_pdf              | zh 所有儿童信息以 Records PDF格式导出            |
|   en   | cases.export_some_records_to_csv                   | zh 某些纪录以CSV格式导出                         |
|   en   | cases.filer_by.flagged                             | zh 标记的                                        |
|   en   | cases.filer_by.reunited                            | zh 重聚                                          |
|   en   | cases.filter_by.active                             | zh 活动的                                        |
|   en   | cases.filter_by.all                                | zh 所有                                          |
|   en   | cases.filter_by.created                            | zh 创建                                          |
|   en   | cases.filter_by.label                              | zh 过滤                                          |
|   en   | cases.filter_by.reunited                           | zh 重聚                                          |
|   en   | cases.register_new_child                           | zh Placeholder                                   |
|   en   | children.export_all_child_records_to_csv           | zh 所有儿童信息以 Records  CSV格式导出           |
|   en   | children.export_all_child_records_to_pdf           | zh 所有儿童信息以 Records PDF格式导出            |
|   en   | children.export_some_records_to_csv                | zh 某些纪录以CSV格式导出                         |
|   en   | dashboard.preliminary_protection_concerns          | fr Problèmes de protection préliminaire          |
|   en   | errors.models.child.photo_format                   | zh 请给这个儿童记录上传合适的(jpg or png)图片    |
|   en   | errors.models.child.photo_size                     | zh 文件太大                                      |
|   en   | errors.models.child.primary_photo_id               | zh 把'%{photo_id}'做为主图片失败:没有这个图片    |
|   en   | errors.models.replication.remote_app_url           | zh 请输入合适的 URL, e.g. http://<server>:<port> |
|   en   | errors.models.replication.save_remote_couch_config | zh The URL/Username/Password输入不正确           |
|   en   | errors.template.body                               | zh 以下字段有错误:                               |
|   en   | form_section.actions.actions                       | fr Actions                                       |
|   en   | lookup.actions                                     | app/views/lookups/_list_view_table.html.erb:10   |
|   en   | name                                               | zh 名字                                          |
|   en   | navigation.devices                                 | zh 设备                                          |
|   en   | permissions.group.ALL                              | zh 所有                                          |
|   en   | permissions.group.Children                         | zh 儿童                                          |
|   en   | permissions.group.Devices                          | zh 设备                                          |
|   en   | permissions.group.Forms                            | zh 表单                                          |
|   en   | permissions.group.Reports                          | zh 报告                                          |
|   en   | permissions.group.Roles                            | zh 角色                                          |
|   en   | permissions.group.System                           | zh 系统                                          |
|   en   | permissions.group.Users                            | zh 用户                                          |
|   en   | permissions.permission.BlackList Devices           | zh 黑名单设备                                    |
|   en   | permissions.permission.Create and Edit Roles       | zh 创建和编辑角色                                |
|   en   | permissions.permission.Create and Edit Users       | zh 创建和编辑用户                                |
|   en   | permissions.permission.Delete Users                | zh 删除用户                                      |
|   en   | permissions.permission.Disable Users               | zh 禁用用户                                      |
|   en   | permissions.permission.Edit Child                  | zh 编辑儿童                                      |
|   en   | permissions.permission.Export to Photowall/CSV/PDF | zh 导出成照片墙/CSV/PDF                          |
|   en   | permissions.permission.Highlight Fields            | zh 高亮字段                                      |
|   en   | permissions.permission.Manage Forms                | zh 管理表单                                      |
|   en   | permissions.permission.Manage Replications         | zh 管理副本                                      |
|   en   | permissions.permission.Register Child              | zh 登记儿童                                      |
|   en   | permissions.permission.System Settings             | zh 系统设置                                      |
|   en   | permissions.permission.Users for synchronisation   | zh 管理服务器同步用户                            |
|   en   | permissions.permission.View And Search Child       | zh 查看和搜索儿童                                |
|   en   | permissions.permission.View Users                  | zh 查看用户                                      |
|   en   | permissions.permission.View and Download Reports   | zh 查看和下载报告                                |
|   en   | permissions.permission.View roles                  | zh 查看角色                                      |
|   en   | potential_matches.filter_by.age_range_             | app/views/potential_matches/_filter.html.erb:4   |
|   en   | potential_matches.filter_by.sex_                   | app/views/potential_matches/_filter.html.erb:12  |
|   en   | replication.remote_app_url                         | zh RapidFTR URL                                  |
|   en   | report.types.weekly_report                         | zh 周报告                                        |
|   en   | subform_sort_by                                    | app/views/form_section/_add_field.html.erb:76    |
|   en   | visible                                            | zh 可见                                          |
+--------+----------------------------------------------------+--------------------------------------------------+
+--------+---------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                                           | Value                                                                                                                                                              |
+--------+---------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   en   | actions.incident_details_from_case                            | Add Incident                                                                                                                                                       |
|   en   | actions.services_section_from_case                            | Add Service Provision                                                                                                                                              |
|   en   | admin.contact_info                                            | Admin Contact Information                                                                                                                                          |
|   en   | admin.manage_system_users                                     | Manage Server Synchronisation Users                                                                                                                                |
|   en   | administration                                                | Administration                                                                                                                                                     |
|   en   | agencies.logo                                                 | Logo                                                                                                                                                               |
|   en   | agencies.logo_enabled                                         | Logo enabled?                                                                                                                                                      |
|   en   | agency.code                                                   | Agency Code                                                                                                                                                        |
|   en   | agency.name                                                   | Agency Name                                                                                                                                                        |
|   en   | approvals.approve_bia                                         | Request Approval for the BIA form?                                                                                                                                 |
|   en   | approvals.approve_bia_label                                   | Approve BIA Form                                                                                                                                                   |
|   en   | approvals.approve_care_plan                                   | Request Approval for the Case Plan form?                                                                                                                           |
|   en   | approvals.approve_case_plan                                   | Request Approval for the Case Plan form?                                                                                                                           |
|   en   | approvals.approve_case_plan_label                             | Approve Case Plan                                                                                                                                                  |
|   en   | approvals.approve_closure                                     | Request Approval for the Closure form?                                                                                                                             |
|   en   | approvals.approve_closure_label                               | Approve Closure Form                                                                                                                                               |
|   en   | approvals.status.approved                                     | Approved                                                                                                                                                           |
|   en   | approvals.status.pending                                      | Pending                                                                                                                                                            |
|   en   | approvals.status.rejected                                     | Rejected                                                                                                                                                           |
|   en   | belonging_to                                                  | belonging to                                                                                                                                                       |
|   en   | bulk_export.file_name                                         | File                                                                                                                                                               |
|   en   | bulk_export.record_type                                       | Type                                                                                                                                                               |
|   en   | bulk_export.started_on                                        | Started                                                                                                                                                            |
|   en   | bulk_export.status                                            | Status                                                                                                                                                             |
|   en   | case.age                                                      | Age                                                                                                                                                                |
|   en   | case.another_duplicate_after_link                             | to see the duplicate record.                                                                                                                                       |
|   en   | case.another_duplicate_before_link                            | Another record has been marked as a duplicate of this one. Click                                                                                                   |
|   en   | case.case_opening_date                                        | Case Open Date                                                                                                                                                     |
|   en   | case.change_log                                               | Change Log                                                                                                                                                         |
|   en   | case.duplicate_header                                         | Marking %{child_name} as Duplicate                                                                                                                                 |
|   en   | case.edit_photo                                               | Edit photo                                                                                                                                                         |
|   en   | case.flagged_by                                               | Flagged By                                                                                                                                                         |
|   en   | case.history_of                                               | History of %{short_id}                                                                                                                                             |
|   en   | case.id                                                       | ID#                                                                                                                                                                |
|   en   | case.id_of_record_this_duplicate_of                           | Enter the ID of the record this is a duplicate of:                                                                                                                 |
|   en   | case.incident_details_separator                               | Incident Details                                                                                                                                                   |
|   en   | case.investigation_details                                    | Investigation Details:                                                                                                                                             |
|   en   | case.last_updated                                             | Last updated                                                                                                                                                       |
|   en   | case.manage_photos                                            | Manage photos                                                                                                                                                      |
|   en   | case.mark_as_duplicate                                        | Mark as Duplicate                                                                                                                                                  |
|   en   | case.mark_child_as_duplicate                                  | Mark %{short_id} as Duplicate                                                                                                                                      |
|   en   | case.messages.confirm_duplicate                               | Are you sure you want to continue? If so, click OK. If not, click Cancel.                                                                                          |
|   en   | case.messages.investigation_error_message                     | Please confirm the flagged record should be marked as investigated, and enter any details you have.                                                                |
|   en   | case.messages.not_found                                       | Child with the given id is not found                                                                                                                               |
|   en   | case.messages.reunite_error_message                           | Please confirm this case has been reunited with family or caregivers, and enter any details you have.                                                              |
|   en   | case.messages.see_full_size                                   | Click on the Image to see full size                                                                                                                                |
|   en   | case.messages.undo_investigation_error_message                | Undo Investigation Details:                                                                                                                                        |
|   en   | case.messages.undo_reunite_error_message                      | Please confirm case should be marked as Not Reunited, and enter any details you have.                                                                              |
|   en   | case.name                                                     | Name                                                                                                                                                               |
|   en   | case.owned_by                                                 | Record Owner                                                                                                                                                       |
|   en   | case.owned_by_agency                                          | Record Owner Agency                                                                                                                                                |
|   en   | case.photo                                                    | Photo                                                                                                                                                              |
|   en   | case.posted_from_mobile                                       | Posted from the mobile client at:                                                                                                                                  |
|   en   | case.registered_by                                            | Registered by                                                                                                                                                      |
|   en   | case.registration_date                                        | Registration Date                                                                                                                                                  |
|   en   | case.reunite_details                                          | Reunite Details:                                                                                                                                                   |
|   en   | case.select                                                   | Select                                                                                                                                                             |
|   en   | case.services_section_separator                               | Response Overview                                                                                                                                                  |
|   en   | case.sex                                                      | Sex                                                                                                                                                                |
|   en   | case.social_worker                                            | Social Worker                                                                                                                                                      |
|   en   | case.status                                                   | Status                                                                                                                                                             |
|   en   | case.survivor_code                                            | Survivor Code                                                                                                                                                      |
|   en   | case.unflag_error_message                                     | Please explain why you are unflagging this record.                                                                                                                 |
|   en   | case.unflag_record                                            | Unflag Record                                                                                                                                                      |
|   en   | case.workflow.closed                                          | Closed                                                                                                                                                             |
|   en   | cases.export                                                  | Export                                                                                                                                                             |
|   en   | cases.filer_by.active                                         | Active                                                                                                                                                             |
|   en   | cases.filer_by.all                                            | All                                                                                                                                                                |
|   en   | cases.flag_summary                                            | Flag summary                                                                                                                                                       |
|   en   | cases.order_by.label                                          | Order by                                                                                                                                                           |
|   en   | cases.order_by.most_recently                                  | Most recently                                                                                                                                                      |
|   en   | cases.order_by.name                                           | Name                                                                                                                                                               |
|   en   | child.age                                                     | Age                                                                                                                                                                |
|   en   | child.another_duplicate_after_link                            | to see the duplicate record.                                                                                                                                       |
|   en   | child.another_duplicate_before_link                           | Another record has been marked as a duplicate of this one. Click                                                                                                   |
|   en   | child.change_log                                              | Change Log                                                                                                                                                         |
|   en   | child.export_error                                            | No Records Available!                                                                                                                                              |
|   en   | child.id                                                      | ID#                                                                                                                                                                |
|   en   | child.investigation_details                                   | Investigation Details:                                                                                                                                             |
|   en   | child.last_updated                                            | Last updated                                                                                                                                                       |
|   en   | child.messages.create_details_error                           | Make sure only one case is selected                                                                                                                                |
|   en   | child.messages.not_found                                      | Child with the given id is not found                                                                                                                               |
|   en   | child.messages.see_full_size                                  | Click on the Image to see full size                                                                                                                                |
|   en   | child.name                                                    | Name                                                                                                                                                               |
|   en   | child.posted_from_mobile                                      | Posted from the mobile client at:                                                                                                                                  |
|   en   | child.registered_by                                           | Registered by                                                                                                                                                      |
|   en   | child.registration_date                                       | Registration Date                                                                                                                                                  |
|   en   | child.reunite_details                                         | Reunite Details:                                                                                                                                                   |
|   en   | child.sex                                                     | Sex                                                                                                                                                                |
|   en   | child.status                                                  | Status                                                                                                                                                             |
|   en   | child.unflag_error_message                                    | Please explain why you are unflagging this record.                                                                                                                 |
|   en   | child.unflag_record                                           | Unflag Record                                                                                                                                                      |
|   en   | children.export                                               | Export                                                                                                                                                             |
|   en   | children.filer_by.active                                      | Active                                                                                                                                                             |
|   en   | children.filer_by.all                                         | All                                                                                                                                                                |
|   en   | children.filer_by.flagged                                     | Flagged                                                                                                                                                            |
|   en   | children.filer_by.reunited                                    | Reunited                                                                                                                                                           |
|   en   | children.flag_summary                                         | Flag summary                                                                                                                                                       |
|   en   | children.order_by.label                                       | Order by                                                                                                                                                           |
|   en   | children.order_by.most_recently                               | Most recently                                                                                                                                                      |
|   en   | children.order_by.name                                        | Name                                                                                                                                                               |
|   en   | children.register_new_child                                   | Register New Child                                                                                                                                                 |
